,freq,sum_rate,popular,unpopular
1261,4,13,0,1
1628,4,15,0,1
777,4,5,0,1
850,4,16,0,1
1104,4,12,0,1
1605,4,12,0,1
643,4,12,0,1
1445,4,11,0,1
757,4,11,0,1
1499,4,13,0,1
1260,4,11,0,1
973,4,14,0,1
1589,4,12,0,1
839,4,10,0,1
1347,4,11,0,1
119,4,18,0,1
1535,4,12,0,1
1422,4,9,0,1
1608,4,9,0,1
1026,4,10,0,1
1560,4,11,0,1
1545,4,10,0,1
1402,4,11,0,1
838,4,11,0,1
1319,4,7,0,1
851,4,15,0,1
1553,4,11,0,1
1612,4,15,0,1
1537,4,16,0,1
1331,4,12,0,1
1106,4,12,0,1
1539,4,7,0,1
822,4,12,0,1
1443,4,15,0,1
1377,4,13,0,1
1403,4,11,0,1
1521,4,12,0,1
1257,4,7,0,1
598,4,9,0,1
1369,4,11,0,1
1423,4,9,0,1
1259,4,8,0,1
1330,4,10,0,1
1338,4,9,0,1
1429,4,11,0,1
911,4,10,0,1
442,4,5,0,1
1643,4,15,0,1
987,4,10,0,1
1317,4,8,0,1
1223,4,14,0,1
1382,4,8,0,1
1664,4,13,0,1
626,4,13,0,1
1485,4,14,0,1
1410,4,11,0,1
1125,4,17,0,1
992,4,12,0,1
1275,4,10,0,1
1158,4,16,0,1
1600,4,15,0,1
1361,3,8,0,1
1506,3,11,0,1
1652,3,5,0,1
1155,3,10,0,1
1191,3,13,0,1
1465,3,7,0,1
1464,3,7,0,1
861,3,7,0,1
1146,3,6,0,1
1420,3,4,0,1
1256,3,6,0,1
1432,3,3,0,1
1528,3,7,0,1
1484,3,8,0,1
1356,3,8,0,1
1387,3,6,0,1
1623,3,12,0,1
1351,3,6,0,1
1430,3,7,0,1
1424,3,7,0,1
1513,3,6,0,1
1408,3,3,0,1
1357,3,8,0,1
1516,3,12,0,1
1602,3,10,0,1
1189,3,15,0,1
1622,3,7,0,1
1448,3,11,0,1
1186,3,10,0,1
1544,3,8,0,1
1490,3,9,0,1
1389,3,9,0,1
817,3,8,0,1
1196,3,9,0,1
1538,3,9,0,1
1607,3,10,0,1
1639,3,13,0,1
788,3,5,0,1
1508,3,7,0,1
1293,3,15,0,1
1027,3,8,0,1
1318,3,4,0,1
1610,3,6,0,1
1372,3,9,0,1
858,3,3,0,1
1418,3,11,0,1
1384,3,5,0,1
1144,3,11,0,1
1463,3,10,0,1
1391,3,6,0,1
1504,3,11,0,1
1370,3,8,0,1
1123,3,11,0,1
1327,3,7,0,1
1323,3,8,0,1
1658,3,9,0,1
1552,3,6,0,1
1609,3,5,0,1
1096,3,8,0,1
1292,3,5,0,1
1594,2,9,0,1
1467,2,10,0,1
1642,2,9,0,1
1481,2,6,0,1
1629,2,8,0,1
1611,2,6,0,1
1644,2,3,0,1
1585,2,5,0,1
1662,2,5,0,1
1646,2,7,0,1
1541,2,7,0,1
1672,2,4,0,1
1491,2,6,0,1
1358,2,6,0,1
1542,2,6,0,1
1631,2,7,0,1
1551,2,4,0,1
1532,2,4,0,1
1573,2,5,0,1
1321,2,5,0,1
1433,2,4,0,1
1656,2,7,0,1
1345,2,4,0,1
1365,2,3,0,1
1502,2,3,0,1
897,2,3,0,1
1556,2,4,0,1
1306,2,6,0,1
1359,2,2,0,1
1617,2,6,0,1
1398,2,9,0,1
1578,2,4,0,1
1588,2,4,0,1
1304,2,5,0,1
1547,2,6,0,1
913,2,5,0,1
1360,2,3,0,1
1417,2,5,0,1
1290,2,3,0,1
1519,2,6,0,1
1350,2,3,0,1
1500,2,10,0,1
1080,2,8,0,1
1523,2,6,0,1
1390,2,4,0,1
1308,2,2,0,1
1450,2,8,0,1
1550,2,6,0,1
1332,2,4,0,1
1472,2,7,0,1
1334,2,2,0,1
1590,2,4,0,1
1362,2,4,0,1
784,2,2,0,1
1455,2,5,0,1
600,2,6,0,1
1554,2,6,0,1
1342,2,5,0,1
1307,2,3,0,1
1354,2,2,0,1
1497,2,6,0,1
1374,2,2,0,1
1371,2,3,0,1
1549,2,3,0,1
1436,2,5,0,1
1477,2,5,0,1
907,2,4,0,1
957,2,4,0,1
1673,1,3,0,1
599,1,1,0,1
1648,1,2,0,1
1309,1,1,0,1
1581,1,1,0,1
1584,1,1,0,1
1635,1,3,0,1
1669,1,2,0,1
1606,1,2,0,1
1634,1,2,0,1
1613,1,4,0,1
1577,1,1,0,1
1666,1,2,0,1
1663,1,2,0,1
1458,1,4,0,1
1329,1,1,0,1
1679,1,3,0,1
1543,1,3,0,1
1494,1,1,0,1
1677,1,3,0,1
1633,1,3,0,1
1130,1,4,0,1
1373,1,1,0,1
1526,1,4,0,1
1122,1,5,0,1
857,1,3,0,1
1325,1,1,0,1
1341,1,1,0,1
1352,1,1,0,1
1636,1,4,0,1
1681,1,3,0,1
1638,1,3,0,1
1667,1,3,0,1
1675,1,3,0,1
1460,1,3,0,1
1236,1,3,0,1
1626,1,1,0,1
1645,1,4,0,1
1659,1,1,0,1
1682,1,3,0,1
1674,1,4,0,1
1640,1,3,0,1
1637,1,3,0,1
1630,1,3,0,1
1670,1,3,0,1
1665,1,2,0,1
1457,1,3,0,1
1625,1,4,0,1
1343,1,1,0,1
1582,1,1,0,1
1678,1,1,0,1
1567,1,1,0,1
1201,1,5,0,1
1546,1,1,0,1
1627,1,3,0,1
1676,1,2,0,1
1680,1,2,0,1
1366,1,1,0,1
1536,1,5,0,1
1668,1,3,0,1
1564,1,1,0,1
1604,1,4,0,1
1574,1,1,0,1
1310,1,3,0,1
1671,1,1,0,1
1561,1,1,0,1
1650,1,4,0,1
1533,1,4,0,1
1348,1,1,0,1
1493,1,1,0,1
830,1,1,0,1
1619,1,3,0,1
1601,1,1,0,1
1364,1,1,0,1
1320,1,1,0,1
1235,1,4,0,1
1447,1,3,0,1
1349,1,1,0,1
1583,1,1,0,1
1624,1,2,0,1
1566,1,1,0,1
1339,1,1,0,1
1651,1,4,0,1
1414,1,2,0,1
1340,1,1,0,1
1568,1,1,0,1
1647,1,3,0,1
1569,1,1,0,1
1596,1,2,0,1
1603,1,3,0,1
1453,1,2,0,1
1579,1,1,0,1
1461,1,2,0,1
1510,1,3,0,1
1559,1,1,0,1
1575,1,1,0,1
1507,1,3,0,1
1571,1,1,0,1
1593,1,4,0,1
677,1,3,0,1
1587,1,1,0,1
1576,1,1,0,1
1525,1,4,0,1
1486,1,1,0,1
1614,1,3,0,1
1570,1,1,0,1
1363,1,1,0,1
1654,1,1,0,1
1563,1,1,0,1
1482,1,4,0,1
1657,1,3,0,1
1616,1,4,0,1
814,1,5,0,1
1660,1,2,0,1
1520,1,3,0,1
1661,1,1,0,1
1515,1,4,0,1
1621,1,1,0,1
711,1,4,0,1
1565,1,1,0,1
1632,1,3,0,1
1618,1,1,0,1
1655,1,2,0,1
1548,1,1,0,1
1156,1,3,0,1
1492,1,4,0,1
1580,1,1,0,1
1599,1,5,0,1
1476,1,2,0,1
1649,1,3,0,1
1498,1,4,0,1
1586,1,1,0,1
1572,1,1,0,1
1595,1,2,0,1
1562,1,1,0,1
1557,1,1,0,1
852,1,1,0,1
1505,1,4,0,1
1653,1,5,0,1
1452,1,4,0,1
1641,1,3,0,1
